fecha,ipc_var_mensual,expectativas_infla,inflacion_t-1,inflacion_t-2,tasa_i_promedio,BM_varm,BM_varm_lag_1,BM_varm_lag_2,M2_varm,M2_varm_lag_1,M2_varm_lag_2,M2_varm_lag_3,M2_varm_lag_4,emae_varm_b2004,RIPTE_varm,RIPTE_varm_lag_1,brecha,Varm_ccl_unificado,Varm_ccl_implicito,tcr_multilateral_varm,tcr_bra_varm,tcr_dolar_varm,ipc_usa_varm,soja_var_mensual,aceite_var_mensual,trigo_var_mensual,petroleo_var_mensual,maiz_var_mensual,volatilidad_6m,cv_6m,año_mandato,es_año_electoral,trimestre
2004-07-01,0.46901648664012,0.76667,0.6868918145392,0.60466455513965,2.513809523809524,-3.2183766220412635,2.050367261280184,1.2429618612557205,3.0259273035249503,1.5836983633984,-0.03300906349389,2.94345929541886,1.50662712689495,2.2712474644825287,-1.1657066017335629,1.1069568332766844,0.1409968405094741,-2.9470067397912025,-2.9470067397912025,0.8999999999999999,3.0,-0.4,0.1058761249338235,-0.095070453,-0.077537566,-0.032689849,0.069493733,-0.152372263,0.2601667540125487,0.472476586404767,1,False,3
2004-08-01,0.33951053897298,0.54848,0.46901648664012,0.6868918145392,2.847619047619048,0.7330755174025816,-3.2183766220412635,2.050367261280184,0.02516454040311,3.0259273035249503,1.5836983633984,-0.03300906349389,2.94345929541886,1.3474273079165933,-0.2546447384145778,-1.1657066017335629,-2.0183644584388905,-0.2238690751891314,-0.2238690751891314,2.3,3.7,1.6,0.0528820729772672,-0.220836855,-0.096826775,-0.078041026,0.104483448,-0.003840885,0.17784538611400413,0.30010529298849564,1,False,3
2004-09-01,0.634428309601,0.58056,0.33951053897298,0.46901648664012,2.9904545454545457,0.267892927204838,0.7330755174025816,-3.2183766220412635,0.3415952064104099,0.02516454040311,3.0259273035249503,1.5836983633984,-0.03300906349389,0.2231651667801149,-0.1271865956387841,-0.2546447384145778,-1.7409570836432524,-0.3014668689934274,-0.3014668689934274,0.6,3.1,-0.8999999999999999,0.3171247357294016,-0.08566779,-0.021496882,0.039039409,0.020584873,-0.061159,0.17868617575141438,0.2985402058338897,1,False,3
2004-10-01,0.39226674138412,0.575,0.634428309601,0.33951053897298,3.0265,-3.456473261244586,0.267892927204838,0.7330755174025816,0.45310945169043,0.3415952064104099,0.02516454040311,3.0259273035249503,1.5836983633984,0.7554207223200438,0.4420287180244342,-0.1271865956387841,-0.8957445470663042,-0.0431608543382533,-0.0431608543382533,0.1,0.5,-1.0,0.5268703898840821,-0.063035003,-0.099907169,-0.029683436,0.159312886,-0.044120468,0.14113730501841665,0.27082949580862664,1,False,4
2004-11-01,0.0,0.54688,0.39226674138412,0.634428309601,3.0231818181818184,6.06654899653527,-3.456473261244586,0.267892927204838,0.8745216372474299,0.45310945169043,0.3415952064104099,0.02516454040311,3.0259273035249503,0.5020937781663237,0.1819133981973975,0.4420287180244342,-0.290332592383707,0.118071720136248,0.118071720136248,1.5,2.0,-0.2,0.4716981132075304,0.012324461,0.006279795,0.033129532,-0.08717546,0.003675655,0.24627638896281911,0.5858808910134197,1,False,4
2004-12-01,0.8372871895060099,0.54138,0.0,0.39226674138412,2.969090909090909,7.810991268618395,6.06654899653527,-3.456473261244586,7.72580031835659,0.8745216372474299,0.45310945169043,0.3415952064104099,0.02516454040311,-0.8509735284695452,1.1261818948835822,0.1819133981973975,-1.80972075695051,-0.9811494403996646,-0.9811494403996646,2.5,3.5000000000000004,0.4,0.0,0.014162534,-0.020713673,-0.028147776,-0.108240187,0.01973165,0.28364833463591554,0.6368135105837714,1,False,4
2005-02-01,0.9545888449475,0.46765,1.48076390810958,0.8372871895060099,2.704,0.6097684500536937,-5.934028240943645,7.810991268618395,0.11085010701266,2.7301295999192,7.72580031835659,0.8745216372474299,0.45310945169043,0.304467703510225,0.0499174093772092,-0.078897967697189,-2.1023565288480657,-0.9136878814298256,-0.9136878814298256,-0.7000000000000001,1.7999999999999998,-1.9,0.4175365344467607,0.00983545,0.019408278,0.002858785,0.021250367,-0.017486327,0.352613950951382,0.669926859823476,2,False,1
2005-03-01,1.53991625016884,0.54667,0.9545888449475,1.48076390810958,2.786666666666666,1.0852931701030857,0.6097684500536937,-5.934028240943645,2.94246284126049,0.11085010701266,2.7301295999192,7.72580031835659,0.8745216372474299,0.5448894981483932,1.0223427705761343,0.0499174093772092,1.512698030039079,4.0913109878627285,4.0913109878627285,-1.7000000000000002,-4.4,-0.7000000000000001,0.3638253638253541,0.180127636,0.157558941,0.055434984,0.12716149,0.059926386,0.5242014101699175,0.7216284501561222,2,False,1
2005-04-01,0.49221764001596,0.69677,1.53991625016884,0.9545888449475,3.097619047619048,-0.7131047945342028,1.0852931701030857,0.6097684500536937,-0.25748878871626,2.94246284126049,0.11085010701266,2.7301295999192,7.72580031835659,1.7960528970178746,3.8091304191659736,1.0223427705761343,-0.2204011549431867,-2.5851611024845123,-2.5851611024845123,-0.2,3.8,-1.4,0.3107198342827466,-0.018938134,-0.028207603,-0.076113365,-0.019528885,-0.035426429,0.5323441879601198,0.7575558675977377,2,False,2
2005-05-01,0.59571088165208,0.66111,0.49221764001596,1.53991625016884,3.57,4.608285685625457,-0.7131047945342028,1.0852931701030857,1.65204623233221,-0.25748878871626,2.94246284126049,0.11085010701266,2.7301295999192,0.3287580157107062,1.2559901735204049,3.8091304191659736,-1.9599768736235708,-2.0641180415827964,-2.0641180415827964,0.8999999999999999,5.0,-0.8,-0.0516262261228694,0.020536158,0.005600472,-0.007577966,-0.058721525,-0.011465216,0.5148059990997295,0.6988758181743461,2,False,2
